group_name,group_type,filter_type,exp_type,exp_val,case_sensitive,logical_operator,description
Production VMs,VirtualMachine,vmsByName,,prod.*,false,AND,All VMs with names starting with prod (auto RXEQ)
Development VMs,VirtualMachine,vmsByName,,dev.*,false,AND,All VMs with names starting with dev (auto RXEQ)
Test VMs,VirtualMachine,vmsByName,,test.*,false,AND,All VMs with names starting with test (auto RXEQ)
High Criticality VMs,VirtualMachine,vmsByTag,,criticality=high,false,AND,VMs tagged as high criticality (auto EQ)
Production Namespaces,Namespace,namespacesByTag,,environment=production,false,AND,Production Kubernetes namespaces (auto EQ)
Dev Namespaces,Namespace,namespacesByName,,dev-.*,false,AND,Development namespaces (auto RXEQ)
High Memory PMs,PhysicalMachine,pmsByMem,GT,64,false,AND,Physical machines with more than 64GB RAM
AWS VMs,VirtualMachine,vmsByTag,,cloud=aws,false,AND,VMs running on AWS (auto EQ)
Azure VMs,VirtualMachine,vmsByCloudProvider,,AZURE,false,AND,VMs running on Azure (auto EQ)
App Tier VMs,VirtualMachine,vmsByName,,.*-app-.*,false,AND,Application tier VMs (auto RXEQ)
DB Tier VMs,VirtualMachine,vmsByName,,.*-db-.*,false,AND,Database tier VMs (auto RXEQ)
Web Tier VMs,VirtualMachine,vmsByName,,.*-web-.*,false,AND,Web tier VMs (auto RXEQ)
Dallas Datacenter VMs,VirtualMachine,vmsByDC,,Dallas,false,AND,All VMs in Dallas datacenter (auto EQ)
Cluster01 VMs,VirtualMachine,vmsByClusterName,,Cluster01,false,AND,VMs in Cluster01 (auto EQ)
Production AWS VMs,VirtualMachine,vmsByName,,prod.*,false,AND,Production VMs on AWS (multiple criteria example)
Production AWS VMs,VirtualMachine,vmsByTag,,cloud=aws,false,AND,Production VMs on AWS (multiple criteria example)
High Priority App VMs,VirtualMachine,vmsByName,,.*-app-.*,false,AND,High priority application VMs (multiple criteria)
High Priority App VMs,VirtualMachine,vmsByTag,,priority=high,false,AND,High priority application VMs (multiple criteria)
Dev or Test VMs,VirtualMachine,vmsByName,,dev.*,false,OR,Development or test VMs (OR logic example)
Dev or Test VMs,VirtualMachine,vmsByName,,test.*,false,OR,Development or test VMs (OR logic example)
